ARRL 10, arrl10.cfg
ARRL 160 (DX), arrl160dx.cfg
ARRL 160 (US/VE), arrl160.cfg
ARRL DX (US/VE), arrldx.cfg
ARRL DX (DX), arrldx-dx.cfg
California QSO Party (CA), cqp_ca.cfg
California QSO Party (outside CA), cqp.cfg
CQ 160, cq160.cfg
CQ WPX, wpx.cfg
CQ WW, cqww.cfg
CW OPS CWT, cwops.cfg
DXpedition/general logging, dxped.cfg
ARRL Field Day,fd.cfg
ARRL Sweepstakes,ss.cfg
IARU, iaru.cfg
Kansas QSO Party (KS), kqp_ks.cfg
Kansas QSO Party (outside KS), kqp.cfg
Mississippi QSO PARTY (MS), msqp_ms.cfg
Mississippi QSO PARTY (outside MS), msqp.cfg
Pennsylvania QSO Party (PA), paqp_pa.cfg
Pennsylvania QSO Party (outside PA), paqp.cfg
North American QSO Party, naqp.cfg
North American Sprint, nasprint.cfg
NCCC Sprint, ns.cfg
Stew Perry Topband, stew.cfg
